149,168,213,533,945,858,250,523,2
154,191,231,604,1006,842,252,515,2
119,177,209,566,932,810,219,436,2
113,181,222,576,955,872,239,376,2
119,173,218,572,982,806,226,316,2
116,158,203,497,940,810,220,358,2
115,140,187,446,974,862,246,442,2
116,163,195,468,984,954,258,439,2
117,156,189,465,1062,913,229,438,2
98,144,170,417,1055,933,235,410,2
121,159,185,514,1075,921,326,547,2
116,153,174,498,1034,858,310,480,2
116,134,189,512,1079,796,311,493,2
140,169,244,574,1089,818,331,583,2
139,163,259,564,1042,822,325,581,2
125,196,251,470,948,830,216,425,2
140,216,277,491,953,920,231,490,2
145,216,265,461,1093,924,218,483,2
118,190,205,357,1008,958,183,361,2
128,192,177,329,956,954,183,361,2
123,147,165,339,1001,873,181,369,2
113,122,127,282,944,802,158,314,2
105,127,131,293,806,829,160,337,2
123,140,136,310,811,789,183,472,2
116,144,151,311,829,735,201,535,2
125,173,172,327,900,763,200,587,2
118,167,161,324,942,760,199,575,2
116,175,186,334,978,797,201,539,2
106,163,194,377,997,822,223,443,2
117,166,204,461,1130,879,242,407,2
114,144,194,447,1107,927,267,315,2
117,144,197,458,1155,922,271,310,2
117,128,176,498,1142,831,281,344,2
129,136,169,472,1114,818,258,429,2
114,132,144,412,1010,847,238,409,2
110,127,142,443,1066,889,221,414,2
109,127,141,437,1043,953,225,412,2
112,122,134,378,1058,954,211,449,2
94,110,120,363,1069,998,217,392,2
108,123,134,359,1128,983,225,385,2
109,116,127,339,1085,908,215,473,2
112,117,136,357,1071,861,209,475,2
108,120,134,327,1016,860,209,421,2
113,125,144,342,1029,797,189,406,2
108,112,146,393,1010,757,177,392,2
106,111,158,397,996,793,185,334,2
109,111,167,384,1037,799,194,351,2
119,114,173,403,1080,787,185,374,2
117,113,172,406,1123,773,221,442,2
109,105,159,356,1074,811,219,441,2
134,111,149,336,1106,773,230,444,2
129,109,129,344,1049,726,220,436,2
120,126,139,362,993,694,226,477,2
127,120,152,427,922,688,197,494,2
127,127,153,423,944,701,190,498,2
98,137,162,440,930,654,172,468,2
101,143,165,463,939,697,195,479,2
104,132,153,470,929,782,239,469,2
89,139,141,394,940,848,254,400,2
88,135,140,440,1017,841,261,418,2
86,120,123,427,1021,904,267,424,2
84,113,145,438,1035,911,242,403,2
126,125,167,433,1090,914,204,396,2
126,119,164,446,1094,856,175,361,2
132,124,161,421,1078,864,161,323,2
135,130,162,422,1016,814,162,332,2
143,127,142,384,998,854,171,329,2
109,114,135,373,991,835,172,277,2
108,120,140,408,1116,866,195,334,2
106,120,142,404,1091,875,213,387,2
105,118,163,420,1109,940,208,366,2
91,116,167,411,1061,862,238,419,2
81,121,151,381,1012,844,238,424,2
85,130,178,390,908,856,269,457,2
76,122,174,352,860,796,255,441,2
76,128,151,325,802,744,252,438,2
87,150,157,324,957,839,251,449,2
98,144,159,364,1033,832,254,500,2
104,133,142,335,1055,867,204,464,2
110,132,149,337,1019,875,198,468,2
113,128,161,330,1042,894,203,472,2
113,122,168,369,1010,859,186,434,2
113,120,162,339,937,855,175,422,2
115,127,156,401,897,745,178,459,2
108,132,156,431,927,834,200,435,2
109,132,167,448,946,793,204,426,2
109,120,155,421,903,773,187,416,2
105,125,158,431,953,762,197,375,2
103,114,146,335,926,835,196,295,2
107,112,151,291,911,759,189,325,2
102,107,138,275,919,807,175,323,2
104,114,126,279,975,760,201,398,2
98,113,129,278,940,831,181,379,2
88,111,131,286,962,821,181,353,2
98,120,126,294,1007,824,166,382,2
99,119,118,303,970,782,203,496,2
96,110,128,322,925,802,168,437,2
97,101,124,310,866,726,170,434,2
97,122,140,346,871,715,171,444,2
100,115,146,357,813,693,178,449,2
105,123,161,376,844,701,179,343,2
98,120,162,345,785,781,195,335,2
115,125,166,373,861,796,230,406,2
112,106,153,333,772,739,221,412,2
118,115,146,333,785,751,218,385,2
132,114,141,373,891,747,219,408,2
135,116,135,373,899,670,208,417,2
121,118,141,381,829,665,167,401,2
126,136,156,427,897,719,177,402,2
119,124,153,423,933,714,178,405,2
93,121,135,360,792,700,152,377,2
112,152,206,442,922,837,220,443,2
127,155,203,407,918,858,238,475,2
133,142,191,356,878,880,256,514,2
122,139,190,340,813,861,249,482,2
124,138,199,342,820,918,251,495,2
105,105,122,230,654,823,202,440,2
87,100,111,231,788,801,185,355,2
83,111,127,313,897,780,199,359,2
82,114,134,328,932,774,202,377,2
79,114,123,325,894,790,199,360,2
78,111,126,351,885,755,190,344,2
86,108,137,376,887,722,197,390,2
