58,41,17,15,17,28,15,12,0
48,41,16,15,17,30,14,13,0
45,41,15,18,16,26,14,12,0
47,37,13,19,14,24,14,9,0
39,28,11,18,14,30,13,13,0
38,26,13,16,12,31,12,14,0
41,33,15,18,14,29,12,15,0
40,29,15,16,14,27,14,16,0
36,30,17,16,14,25,13,17,0
39,30,17,15,16,27,15,15,0
37,38,17,15,18,27,17,16,0
51,34,17,14,16,29,17,14,0
54,36,17,14,16,30,18,15,0
54,36,16,14,17,30,18,15,0
54,37,15,15,14,24,17,15,0
50,28,15,17,13,29,14,14,0
42,28,13,17,15,27,13,14,0
45,29,14,17,16,26,12,15,0
48,30,14,16,15,26,11,14,0
48,31,14,16,15,26,12,13,0
48,31,13,14,15,24,13,14,0
46,30,13,13,14,25,13,15,0
41,25,13,14,14,28,13,12,0
44,26,11,14,15,30,15,13,0
48,25,10,13,14,28,14,14,0
50,26,11,14,19,25,13,13,0
45,27,11,18,18,24,14,13,0
46,30,12,18,17,21,14,13,0
44,31,15,18,17,27,13,13,0
43,30,16,19,17,28,14,15,0
45,28,17,17,12,28,16,15,0
45,25,18,13,14,29,17,15,0
42,26,19,13,14,28,16,15,0
42,33,17,14,13,24,14,16,0
40,33,18,14,13,24,16,14,0
43,35,18,14,14,28,14,14,0
47,39,16,16,12,29,14,14,0
46,37,15,14,13,30,14,15,0
42,29,16,14,13,25,14,14,0
44,36,16,13,15,27,15,15,0
40,40,15,14,13,23,14,16,0
45,39,16,11,15,21,15,16,0
47,37,14,11,15,26,15,16,0
47,37,12,15,16,26,14,16,0
47,34,12,15,14,23,12,14,0
54,68,12,14,16,25,14,13,0
48,72,12,16,14,25,13,13,0
52,73,14,18,15,25,13,15,0
56,75,15,15,15,25,16,15,0
57,76,14,15,18,31,16,15,0
54,44,14,15,17,30,16,15,0
53,37,14,16,18,29,15,15,0
47,39,13,14,17,24,17,13,0
46,41,13,14,17,27,14,13,0
39,36,13,16,15,21,15,14,0
32,37,15,16,14,25,15,14,0
31,44,15,14,14,31,20,15,0
39,48,16,13,13,33,18,15,0
42,50,17,15,14,33,19,15,0
42,51,16,14,14,32,19,15,0
47,51,15,14,17,31,19,15,0
53,51,15,14,19,25,13,15,0
54,48,14,15,19,25,16,14,0
49,41,12,14,18,25,16,15,0
53,39,13,13,19,27,16,14,0
59,42,12,13,17,25,15,13,0
58,32,13,14,15,29,18,14,0
55,29,13,14,16,28,16,13,0
58,30,15,16,14,24,14,14,0
55,33,14,16,14,22,14,15,0
49,31,15,17,13,22,15,15,0
44,33,14,18,14,16,14,13,0
43,39,15,17,14,16,14,15,0
39,39,14,15,16,19,16,13,0
42,36,15,15,16,17,16,11,0
36,35,15,15,15,17,16,12,0
37,45,15,12,14,15,16,13,0
42,41,15,14,15,18,16,13,0
47,40,15,17,14,18,15,13,0
52,44,15,18,13,20,15,15,0
52,43,14,18,13,20,16,13,0
50,33,14,19,13,21,14,12,0
43,34,14,18,13,23,15,12,0
42,37,12,16,12,26,16,13,0
36,32,12,16,13,26,16,13,0
38,34,12,15,13,26,17,16,0
43,31,13,14,13,27,16,15,0
47,34,13,15,13,23,16,15,0
60,43,14,13,13,16,15,17,0
59,45,14,14,13,20,15,17,0
59,44,15,14,14,20,14,15,0
57,43,15,16,13,20,15,15,0
55,38,13,16,14,21,13,15,0
46,31,15,15,15,27,13,13,0
51,31,17,13,14,23,15,13,0
49,31,17,15,15,24,14,13,0
49,31,17,14,15,23,14,13,0
56,33,17,16,14,23,13,13,0
54,32,16,17,15,17,14,13,0
45,30,14,17,17,18,12,15,0
47,30,11,15,15,17,12,14,0
47,31,13,14,16,24,12,14,0
40,36,14,15,16,24,13,16,0
42,33,15,14,16,23,13,15,0
43,42,14,15,14,22,13,14,0
43,42,14,15,15,25,14,15,0
42,45,15,15,15,20,15,17,0
54,42,13,15,15,19,13,16,0
54,45,13,16,13,26,13,16,0
56,41,15,15,15,25,13,15,0
57,41,16,15,14,28,15,17,0
59,47,16,16,17,30,16,19,0
46,44,16,15,17,31,17,17,0
45,46,17,15,16,26,16,17,0
40,42,16,16,15,26,17,18,0
38,43,15,16,14,20,14,16,0
32,40,11,16,13,24,13,12,0
36,42,14,16,13,25,15,14,0
36,39,12,15,14,24,15,14,0
37,40,12,15,14,24,16,16,0
38,40,13,15,15,30,17,16,0
39,32,15,15,12,25,17,17,0
37,36,13,15,12,27,15,17,0
36,33,14,15,14,32,15,17,0
38,30,14,17,15,33,15,15,0
44,31,14,16,14,29,15,15,0
44,34,13,17,14,29,15,14,0
44,34,12,16,14,28,15,14,0
44,41,13,16,13,24,15,15,0
48,44,13,13,16,30,14,17,0
41,43,13,13,17,28,14,16,0
43,40,13,13,17,28,13,16,0
41,35,15,14,16,28,13,16,0
46,35,16,14,15,26,12,16,0
43,40,15,17,13,20,12,14,0
45,45,17,18,16,49,14,15,0
40,45,17,16,16,51,14,16,0
50,49,17,16,17,51,14,15,0
49,43,15,17,18,51,14,14,0
47,38,15,15,16,52,15,14,0
