3,23,24,26,18,28,24,23,22
4,25,25,28,17,29,25,25,24
4,26,26,29,17,30,26,24,22
4,26,24,26,18,24,22,22,20
4,23,25,26,18,21,21,21,20
4,20,24,24,18,20,21,20,22
4,18,22,23,19,18,20,19,20
4,18,22,22,19,17,19,18,21
4,17,21,21,20,19,19,18,18
4,18,19,18,20,17,20,20,18
4,19,19,18,20,19,18,19,18
4,20,20,16,19,19,19,18,18
4,19,20,18,19,18,19,19,17
4,20,19,17,18,16,18,17,20
4,19,20,18,17,20,16,15,21
4,18,21,17,18,18,17,18,22
4,17,20,18,18,19,16,18,23
4,19,22,17,17,22,19,17,23
4,18,22,17,18,22,19,19,22
4,19,20,17,18,22,20,21,21
4,19,21,18,17,24,20,19,20
4,19,21,18,19,23,19,20,20
4,18,19,18,18,23,20,20,18
4,17,21,19,18,22,20,19,18
4,17,23,18,19,20,19,17,18
4,16,22,19,18,18,19,17,18
4,17,23,17,16,19,20,17,19
