4,104,65,85,420,248,218,472,183,1
4,105,66,88,417,238,199,390,175,1
4,136,81,107,466,256,195,433,227,1
4,125,78,105,453,240,195,393,207,1
4,128,72,96,426,219,181,405,199,1
4,140,74,96,413,216,203,399,212,1
4,139,75,90,386,216,200,393,206,1
4,109,59,67,323,194,212,341,153,1
4,128,67,73,348,205,209,364,192,1
4,132,74,78,351,201,258,433,212,1
4,129,82,90,398,239,259,502,197,1
4,143,95,102,439,251,273,524,223,1
4,147,100,105,448,256,256,557,229,1
4,167,116,114,497,290,293,647,268,1
4,213,129,120,454,275,283,644,327,1
4,216,125,111,411,236,275,585,332,1
4,210,120,101,394,236,289,600,331,1
4,226,130,127,460,256,303,585,354,1
4,214,118,121,389,205,289,517,317,1
4,167,98,111,381,199,256,516,257,1
4,158,99,115,401,218,282,561,259,1
4,157,98,115,384,199,288,598,251,1
4,137,84,89,307,177,279,606,221,1
4,141,88,85,341,216,282,650,236,1
4,172,104,91,355,229,338,663,262,1
4,187,109,101,370,250,355,642,269,1
4,198,113,103,387,257,347,640,297,1
5,217,132,129,492,279,386,699,349,1
5,243,143,142,540,288,419,796,400,1
5,240,146,154,596,310,384,774,401,1
5,244,151,153,629,294,342,797,411,1
5,237,147,154,638,315,347,792,391,1
5,216,128,132,544,288,320,743,341,1
5,170,107,122,526,275,287,601,259,1
5,161,105,115,507,264,295,599,247,1
5,141,92,106,487,256,312,643,230,1
5,178,108,110,480,241,304,600,270,1
5,180,107,106,475,238,284,615,272,1
5,176,104,97,421,213,271,581,267,1
5,156,84,81,358,190,266,590,235,1
5,146,76,73,344,199,249,481,213,1
5,86,54,67,360,211,261,490,180,1
5,99,58,73,392,218,267,441,192,1
5,105,64,79,413,232,274,547,204,1
5,104,70,84,436,240,291,511,202,1
5,111,78,90,441,236,290,522,207,1
5,142,94,100,491,260,285,515,200,1
5,129,93,99,499,268,302,558,192,1
5,125,92,105,534,277,276,449,189,1
5,126,85,103,516,269,260,484,202,1
5,140,87,102,490,260,264,646,234,1
5,153,87,101,454,239,307,793,264,1
5,179,101,115,512,246,289,792,299,1
5,198,115,133,573,279,319,808,321,1
5,203,121,139,608,305,339,826,319,1
5,203,126,152,685,335,343,737,310,1
5,198,120,149,669,329,295,597,296,1
5,180,111,141,605,314,295,572,266,1
5,160,98,119,527,270,256,581,235,1
5,167,98,116,508,258,251,581,258,1
